Clock Time (sec),Sim Clock Time (sec)
60.415070484,45.15
60.465070485,45.2
60.515070486,45.25
60.565070487,45.3
60.615070487,45.35
60.665070488,45.4
60.715070489,45.45
60.76507049,45.5
60.81507049,45.55
60.865070491,45.6
60.915070492,45.65
60.965070493,45.7
61.015070493,45.75
61.065070494,45.8
61.115070495,45.85
61.165070496,45.9
61.215070496,45.95
61.265070497,46.0
61.315070498,46.05
61.365070499,46.1
61.415070499,46.15
61.4650705,46.2
61.515070501,46.25
61.565070501,46.3
61.615070502,46.35
61.665070503,46.4
61.715070504,46.45
61.765070504,46.5
61.815070505,46.55
61.865070506,46.6
61.915070507,46.65
61.965070507,46.7
62.015070508,46.75
62.065070509,46.8
62.11507051,46.85
62.16507051,46.9
62.215070511,46.95
62.315070513,47.0
62.315070513,47.05
62.365070513,47.1
62.415070514,47.15
62.465070515,47.2
62.515070516,47.25
62.565070516,47.3
62.615070517,47.35
62.665070518,47.4
62.715070519,47.45
62.765070519,47.5
62.81507052,47.55
62.865070521,47.6
62.915070522,47.65
62.965070522,47.7
63.015070523,47.75
63.065070524,47.8
63.115070525,47.85
63.165070525,47.9
63.215070526,47.95
63.265070527,48.0
63.315070528,48.05
63.365070528,48.1
63.46507053,48.15
63.46507053,48.2
63.565070531,48.25
63.565070531,48.3
63.615070532,48.35
63.665070533,48.4
63.715070534,48.45
63.765070534,48.5
63.815070535,48.55
63.865070536,48.6
63.915070537,48.65
63.965070537,48.7
64.015070538,48.75
64.065070539,48.8
64.115070539,48.85
64.16507054,48.9
64.215070541,48.95
64.265070542,49.0
64.315070542,49.05
64.365070543,49.1
64.415070544,49.15
64.465070545,49.2
64.515070545,49.25
64.565070546,49.3
64.615070547,49.35
64.665070548,49.4
64.715070548,49.45
64.765070549,49.5
64.81507055,49.55
64.865070551,49.6
64.915070551,49.65
64.965070552,49.7
65.065070554,49.75
65.065070554,49.8
65.115070554,49.85
65.165070555,49.9
65.215070556,49.95
65.265070557,50.0
65.315070557,50.05
65.365070558,50.1
65.415070559,50.15
65.46507056,50.2
65.51507056,50.25
65.565070561,50.3
65.615070562,50.35
65.665070563,50.4
65.715070563,50.45
65.765070564,50.5
65.815070565,50.55
65.915070566,50.6
65.915070566,50.65
65.965070567,50.7
66.015070568,50.75
66.065070569,50.8
66.115070569,50.85
66.16507057,50.9
66.215070571,50.95
66.265070572,51.0
66.315070572,51.05
66.365070573,51.1
66.415070574,51.15
66.465070575,51.2
66.515070575,51.25
66.565070576,51.3
66.615070577,51.35
66.665070577,51.4
66.715070578,51.45
66.765070579,51.5
66.81507058,51.55
66.86507058,51.6
66.915070581,51.65
66.965070582,51.7
67.015070583,51.75
67.065070583,51.8
67.115070584,51.85
67.165070585,51.9
67.215070586,51.95
67.265070586,52.0
67.315070587,52.05
67.365070588,52.1
67.415070589,52.15
67.465070589,52.2
67.51507059,52.25
67.565070591,52.3
67.615070592,52.35
67.715070593,52.4
67.715070593,52.45
67.765070594,52.5
67.815070595,52.55
67.865070595,52.6
67.915070596,52.65
67.965070597,52.7
68.015070598,52.75
68.065070598,52.8
68.115070599,52.85
68.1650706,52.9
68.215070601,52.95
68.265070601,53.0
68.315070602,53.05
68.365070603,53.1
68.415070604,53.15
68.465070604,53.2
68.515070605,53.25
68.565070606,53.3
68.615070607,53.35
68.665070607,53.4
68.715070608,53.45
68.765070609,53.5
68.81507061,53.55
68.86507061,53.6
68.915070611,53.65
68.965070612,53.7
69.015070613,53.75
69.065070613,53.8
69.165070615,53.85
69.165070615,53.9
69.215070615,53.95
